No,Nama Bisnis/Startup,Kabupaten/Kota,Tahun Berdiri,Founder(s),Industri/Sektor,Deskripsi Singkat,Website,Instagram,LinkedIn,Play Store/App Store,Model Bisnis,Tahap,Status Operasional,Target Market,Sumber/Referensi,Kategori Kualifikasi Digital
12,Meulaboh Payment,Aceh Barat,-,-,Fintech (PPOB),"Aplikasi Android untuk transaksi pembayaran tagihan, top-up pulsa & token listrik (PPOB), terverifikasi tersedia di Play Store.",-,instagram.com/meulabohpayment,-,play.google.com/store/apps/details?id=com.otoreport.meulabohpayment,B2C,Scale,Aktif,Lokal (Aceh Barat),instagram.com/meulabohpayment ; Play Store,Digital Bisnis (Fintech/App terverifikasi)
13,HUMAIRAH KITCHEN,Aceh Barat,-,-,Kuliner Daring,"Memasarkan aneka menu makanan penutup, tercatat di direktori UMKM Pemda.",-,-,-,-,B2C,Growth,Aktif,Lokal (Aceh Barat),umkm.pupr-acehbaratkab.com,"Bukan Keduanya (Direktori Pemda, tanpa kanal transaksi terverifikasi)"
14,NYAMNYAM TERUS,Aceh Barat,-,-,Kuliner Daring,Menjual langsung produk olahan camilan ringan ke konsumen akhir.,-,-,-,-,B2C,Growth,Aktif,Lokal (Aceh Barat),umkm.pupr-acehbaratkab.com,"Bukan Keduanya (Direktori Pemda, tanpa kanal transaksi terverifikasi)"
15,NTH Perfume Meulaboh,Aceh Barat,-,-,Kecantikan,"Meracik wewangian lokal, dipasarkan lewat jaringan media daring.",-,-,-,-,B2C,Growth,Aktif,Lokal (Aceh Barat),umkm.pupr-acehbaratkab.com,"Bukan Keduanya (Direktori Pemda, tanpa kanal transaksi terverifikasi)"
16,ICUT SEWING HOUSE,Aceh Barat,-,-,Konveksi,Menerima pesanan kustom jahitan pakaian wanita via aplikasi perpesanan (WA).,-,-,-,-,B2C,Growth,Aktif,Lokal (Aceh Barat),umkm.pupr-acehbaratkab.com,Bukan Keduanya (Konvensional/WA-based)
17,Tamam Studio,Aceh Barat,-,-,Desain Grafis,Menyediakan jasa pembuatan aset visual komersial untuk kebutuhan pemasaran.,-,-,-,-,B2B/B2C,Growth,Aktif,Lokal (Aceh Barat),facebook.com/p/Tamam-Studio-100037942780913,"Bukan Keduanya (Hanya halaman Facebook, tanpa kanal transaksi)"
18,Rezky Meulaboh Jaya,Aceh Barat,2021,-,E-commerce,Mendistribusikan tabung pemadam api dan perangkat perlindungan diri.,tokopedia.com/rezkymeulabohjaya,-,-,-,B2B/B2C,Scale,Aktif,Nasional,tokopedia.com/rezkymeulabohjaya ; YouTube,Digital Bisnis (Marketplace)
19,FF Aceh Store,Aceh Barat,2022,-,E-commerce,Distribusi lini busana anak-anak.,tokopedia.com/ff-aceh-store,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/ff-aceh-store,Digital Bisnis (Marketplace)
20,TAQIYA SHOP ACEH,Aceh Barat,2024,-,E-commerce,Menawarkan aneka setelan pakaian muslim kekinian dan hijab instan.,tokopedia.com/taqiya-shop-aceh,-,-,-,B2C,Growth,Aktif,Nasional,tokopedia.com/taqiya-shop-aceh,Digital Bisnis (Marketplace)
21,Rand molis,Aceh Barat,2023,-,E-commerce,Menjual kendaraan listrik ringan serta perakitan sepeda outdoor anak.,tokopedia.com/rand-molis,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/rand-molis,Digital Bisnis (Marketplace)
22,DARMA GEMSTONE_NEW,Aceh Barat,-,-,E-commerce,Mensuplai bongkahan baku batu giok alam (nephrite jade) ke luar daerah.,tokopedia.com/darmazone,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/darmazone,Digital Bisnis (Marketplace)
23,Zahira Cosmetic,Aceh Barat,2024,-,E-commerce,Mengecerkan beraneka merek produk perawatan kulit wajah.,tokopedia.com/zahira-cosmetic-meulaboh,-,-,-,B2C,Growth,Aktif,Nasional,tokopedia.com/zahira-cosmetic-meulaboh,Digital Bisnis (Marketplace)
24,BATU INDAH JADE,Aceh Barat,2022,-,E-commerce,Membuat dan memasarkan perhiasan berbahan dasar batu giok asli.,tokopedia.com/batuindahjade,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/batuindahjade,Digital Bisnis (Marketplace)
25,Galeri Daster Meulaboh,Aceh Barat,2023,-,E-commerce,Mendistribusikan khusus baju santai wanita berbahan rayon premium.,tokopedia.com/galeri-daster-meulaboh,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com/galeri-daster-meulaboh,Digital Bisnis (Marketplace)
26,GUDANG BATIK SG,Aceh Barat,-,-,E-commerce,"Sempat berjualan batik di Tokopedia, kini tutup sementara akibat jeda distribusi.",tokopedia.com,-,-,-,B2C,Growth,Tidak Aktif,Nasional (sebelumnya),tokopedia.com,"Digital Bisnis (Marketplace, non-aktif)"
27,Dea Star Ponsel,Aceh Barat,-,-,Ritel Elektronik,Memasarkan gawai pintar yang viral di media sosial.,-,-,-,-,B2C,Scale,Aktif,Lokal/Regional,skillpi.fr,"Digital Bisnis (Promosi viral, kanal transaksi belum terverifikasi)"
28,Simeulue Surf Camp,Kab. Simeulue,-,-,Pariwisata,Resor selancar dengan situs web terdedikasi untuk manajemen pemesanan akomodasi daring.,simeuluesurfcamp.com,-,-,-,B2C,Scale,Aktif,Internasional (turis mancanegara),simeuluesurfcamp.com,Digital Bisnis (Website booking mandiri)
29,Island Time Simeulue,Kab. Simeulue,-,-,Pariwisata,"Penginapan selancar, reservasi tamu mancanegara via website & perpesanan instan.",islandtimesimeulue-surf.com,-,-,-,B2C,Scale,Aktif,Internasional,islandtimesimeulue-surf.com,Digital Bisnis (Website booking mandiri)
30,Simeulue Surf Lodges,Kab. Simeulue,-,-,Pariwisata,"Resor selancar inklusif, digitalisasi pemasaran & konversi penyewaan lewat website terintegrasi.",simeulue-surflodges.com,-,-,-,B2C,Scale,Aktif,Internasional,simeulue-surflodges.com,Digital Bisnis (Website booking mandiri)
31,Kerupuk Teripang Zulfikar,Kab. Simeulue,-,-,F&B,"Produsen makanan ringan olahan laut skala industri rumahan, disebut memperluas distribusi daring (belum ada bukti kanal sendiri).",-,-,-,-,B2B/B2C,Scale,Aktif,Lokal/Regional,detik.com (travel),"Bukan Keduanya (Sumber berupa artikel wisata, kanal digital belum terverifikasi)"
32,Salt Simeulue,Kab. Simeulue,-,-,Pariwisata,"Penginapan selancar, mengandalkan infrastruktur afiliasi pemasaran daring jaringan agensi regional.",surfcampsumatra.com/surf-camps/salt-simeulue,-,-,-,B2C,Scale,Aktif,Internasional,surfcampsumatra.com,Digital Bisnis (Afiliasi agensi online)
33,Ranu Surf Camp,Kab. Simeulue,-,-,Pariwisata,Resor wisata mempromosikan paket selancar & kuliner lokal via algoritma media sosial.,ranusurfcamp.com,-,-,-,B2C,Scale,Aktif,Internasional,ranusurfcamp.com,Digital Bisnis (Website + medsos)
34,Momo's Surf Shack,Kab. Simeulue,-,-,Pariwisata,"Pondok selancar, transaksi penjualan kamar mandiri lewat direktori website global.",momossurfshack.com,-,-,-,B2C,Scale,Aktif,Internasional,momossurfshack.com,Digital Bisnis (Website booking mandiri)
35,Dylan's Retreat,Kab. Simeulue,2020,-,Pariwisata,"Penginapan tepi pantai, memasarkan seluruh inventaris kamar via reservasi telekomunikasi digital.",dylansretreatsimeulue.com,-,-,-,B2C,Scale,Aktif,Internasional,dylansretreatsimeulue.com,Digital Bisnis (Website booking mandiri)
36,Nancala Surf Bungalows,Kab. Simeulue,-,-,Pariwisata,"Destinasi selancar ekowisata, transaksi perbankan elektronik untuk reservasi.",nancala.com,-,-,-,B2C,Scale,Aktif,Internasional,nancala.com,Digital Bisnis (Website booking mandiri)
37,Simeulue Nanik Surfcamp,Kab. Simeulue,-,-,Pariwisata,"Penginapan rintisan keluarga, distribusi harga akomodasi lewat platform berbagi hunian.",naniksurfcampsimeulue.com,-,-,-,B2C,Scale,Aktif,Internasional,naniksurfcampsimeulue.com,Digital Bisnis (Platform berbagi hunian)
38,Baturundung Surf Resort,Kab. Simeulue,-,-,Pariwisata,"Pengelola resor kepulauan, sistem konfirmasi otomatis terpadu di portal miliknya.",baturundungresort.com,-,-,-,B2C,Scale,Aktif,Internasional,baturundungresort.com,Digital Bisnis (Website booking mandiri)
39,Seaside Surf Lodges,Kab. Simeulue,-,-,Pariwisata,"Penyedia penginapan selancar, bergantung pada ekosistem berbagi penginapan daring.",seasidelodges.wordpress.com,-,-,-,B2C,Scale,Aktif,Internasional,seasidelodges.wordpress.com,Digital Bisnis (Platform berbagi penginapan)
40,The Peak Simeulue Bungalow,Kab. Simeulue,-,-,Pariwisata,"Bungalo komunal, menembus pasar internasional lewat indeks pencarian agregator perjalanan.",thepeaksimeulue.com,-,-,-,B2C,Scale,Aktif,Internasional,thepeaksimeulue.com,Digital Bisnis (Agregator perjalanan)
41,Pondok Oma Surf,Kab. Simeulue,-,-,Pariwisata,"Pondok penginapan, okupansi lewat afiliasi komersial pada agregator besar (Hotels.com).",id.hotels.com,-,-,-,B2C,Scale,Aktif,Internasional,id.hotels.com,Digital Bisnis (Afiliasi OTA)
42,Kita Surf Resort,Kab. Simeulue,-,-,Pariwisata,"Fasilitas penginapan Desa Kahad, terhubung basis data ketersediaan kamar aplikasi biro perjalanan.",kitasurfresort.com,-,-,-,B2C,Scale,Aktif,Internasional,kitasurfresort.com,Digital Bisnis (Website booking mandiri)
43,Mahimahi Surf Resort,Kab. Simeulue,-,-,Pariwisata,"Akomodasi eksklusif, mempercepat perencanaan liburan turis mancanegara lewat pendaftaran web.",mahimahisurfresort.com,-,-,-,B2C,Scale,Aktif,Internasional,mahimahisurfresort.com,Digital Bisnis (Website booking mandiri)
44,Kopi calang aceh jaya,Kab. Aceh Jaya,-,-,F&B / E-Commerce,"Pengolahan kopi lokal, distribusi nasional konsisten lewat Shopee.",shopee.co.id (kopi-bubuk-kasar...),-,-,-,B2C,Scale,Aktif,Nasional,shopee.co.id,Digital Bisnis (Marketplace)
45,Aroma Calang,Kab. Aceh Jaya,-,-,F&B / E-Commerce,"Merek kopi bubuk kasar & halus, penetrasi pasar ritel lewat Tokopedia.",tokopedia.com/aroma-kopi-calang-aceh-jaya,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com,Digital Bisnis (Marketplace)
46,Madu Rimbe daye,Kab. Aceh Jaya,-,-,Kesehatan / F&B,"UMKM produsen madu hitam & herbal alami hutan Aceh Jaya, operasi niaga via e-commerce.",tokopedia.com/madu-rimbe-daye,-,-,-,B2C,Scale,Aktif,Nasional,tokopedia.com,Digital Bisnis (Marketplace)
47,rumahjahitbordir,Kab. Aceh Jaya,-,-,Kriya / Kerajinan,"Sentra kriya bordir tradisional Teunom, diinkubasi instansi daerah untuk pasar digital.",-,instagram.com/rumahjahitbordir,-,-,B2C,Scale,Aktif,Lokal (Aceh Jaya),instagram.com/rumahjahitbordir,"Bukan Keduanya (Hanya Instagram, belum ada kanal transaksi)"
48,Kamoe Antar,Kab. Nagan Raya,2020,Andriansyah,Logistik / Ride-Hailing,"Startup aplikasi multi-layanan: ojek, food delivery, kurir, taksi, mart, fashion. Terverifikasi rilis resmi & tersedia di Playstore, sudah ekspansi ke 3 kabupaten.",-,-,-,Google Play Store,B2C/B2B,Scale,Aktif,Lokal-Regional (ekspansi 3 kabupaten),"theacehpost.com, https://www.acehtrend.com/news/dikembangkan-anak-muda-aceh-layanan-transportasi-online-kamoe-antar-hadir-di-nagan-raya/index.html","Startup (tervalidasi, app-based)"
