paragraph_id,text,article_title,article_url,source_portal,publish_date,aceh_confidence,word_count,query_used,collector,topic,topic_score,topic_method,sentiment,sentiment_pos_count,sentiment_neg_count,sentiment_method,labeling_notes
11,"Program SiAP dirancang tidak hanya sebagai pelatihan, tetapi juga sebagai jalur menuju akses investasi. Pada tahap akhir, peserta akan dipertemukan dengan 140 pemodal dan investor dalam Business Forum Nasional.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",medium,29,startup Aceh,Aulia,funding,6.0,auto,neutral,0,0,auto,
12,"Kami ingin membantu startup Aceh tumbuh menjadi besar. Dengan investor, kapasitas yang tadinya hanya mampu melayani 5 pengguna, bisa berkembang menjadi perusahaan yang besar dan mandiri, paparnya.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",high,27,startup Aceh,Aulia,success_story,4.0,auto,positive,2,0,auto,
13,"Menurutnya, ekonomi kreatif menciptakan lapangan pekerjaan secara organik. Begitu ide bergerak sedikit saja, langsung muncul kebutuhan tenaga baru tanpa harus diperintah. Itulah keunikan ekonomi kreatif, katanya.",Kementerian Ekonomi Kreatif Luncurkan Program Akselerasi Startup TIK di Aceh,https://dialeksis.com/ekonomi/kementerian-ekonomi-kreatif-luncurkan-program-akselerasi-startup-tik-di-aceh/,dialeksis.com,"Mon, 24 Nov 2025 08:00:00 GMT",medium,26,startup Aceh,Aulia,ecosystem,3.0,title_propagated,neutral,0,1,auto,
14,"BANDA ACEH, AcehEkspres.com Kementerian Komunikasi dan Digital (Komdigi) bersama Pemerintah Kota Banda Aceh akan menghadirkan Garuda Spark Innovation Hub (GSH) pada semester kedua tahun ini sebagai upaya mempertemukan talenta digital lokal dengan dunia industri, investor, dan berbagai peluang pengembangan usaha yang selama ini dinilai belum terhubung secara optimal.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,48,startup Aceh,Aulia,ecosystem,8.0,auto,positive,2,0,auto,
15,"Program tersebut digagas setelah Komdigi melihat besarnya potensi ekosistem digital di Banda Aceh yang tumbuh melalui komunitas, startup, dan perguruan tinggi, namun masih menghadapi tantangan dalam membangun kolaborasi dan memperluas akses ke pasar.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,33,startup Aceh,Aulia,ecosystem,9.0,auto,positive,3,1,auto,
16,"Perwakilan Komdigi yang mengampu program Garuda Spark Innovation Hub, Farhan mengatakan Banda Aceh memiliki modal kuat untuk mengembangkan ekonomi digital.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,20,startup Aceh,Aulia,ecosystem,8.0,auto,neutral,0,0,auto,
17,"Berbagai komunitas dan startup telah menjalankan beragam aktivitas dan inovasi, tetapi masih membutuhkan ruang kolaborasi yang dapat menyatukan seluruh elemen ekosistem.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,21,startup Aceh,Aulia,ecosystem,6.0,auto,positive,2,0,auto,
18,"Kami melihat peluangnya besar. Aktivitas yang dijalankan komunitas, startup, dan kampus sebenarnya sudah cukup masif. Karena itu, Garuda Spark Innovation Hub hadir sebagai platform bersama untuk mengembangkan ekosistem startup, talenta digital, dan inovasi di Banda Aceh, kata Farhan dalam kegiatan temu ramah dengan komunitas digital di Banda Aceh, Selasa 9 Juni 2026.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,52,startup Aceh,Aulia,ecosystem,15.0,auto,neutral,1,0,auto,
19,"Menurutnya, salah satu tantangan yang dihadapi pelaku ekosistem digital saat ini adalah belum terhubungnya berbagai pihak yang sebenarnya memiliki potensi untuk bekerja sama.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,23,startup Aceh,Aulia,ecosystem,5.0,auto,neutral,1,1,auto,
20,"Melalui Garuda Spark, komunitas, startup, akademisi, pemerintah, hingga sektor swasta akan memiliki ruang untuk membangun program bersama, berbagi peluang, dan mengembangkan inovasi yang dapat mendorong pertumbuhan ekonomi digital daerah.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,29,startup Aceh,Aulia,ecosystem,5.0,auto,positive,4,0,auto,
21,"Sementara itu, Manager Telkom AI Center, Jurnalis, menilai kualitas sumber daya manusia digital di Aceh tidak kalah dibanding daerah lain.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,20,startup Aceh,Aulia,talent,3.0,auto,neutral,0,0,auto,
22,"Banyak anak muda Aceh memiliki kemampuan di bidang teknologi dan kecerdasan buatan, namun belum memperoleh ruang yang cukup untuk mengembangkan potensi tersebut di daerah sendiri.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,25,startup Aceh,Aulia,ecosystem,8.0,article_propagated,neutral,1,0,auto,
23,"Menurutnya, keterbatasan industri digital di Aceh membuat banyak talenta muda memilih bekerja secara freelance atau mencari peluang di luar daerah.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,20,startup Aceh,Aulia,ecosystem,8.0,article_propagated,neutral,1,1,auto,
24,"Anak-anak muda Aceh sebenarnya memiliki kemampuan yang sangat baik. Banyak yang memiliki skill digital, tetapi belum terserap secara maksimal oleh industri. Akibatnya, mereka mencari peluang sendiri melalui pekerjaan freelance atau harus keluar daerah untuk mengembangkan kariernya, ujarnya.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,37,startup Aceh,Aulia,talent,3.0,auto,neutral,1,0,auto,
25,"Ia menilai penguatan ekosistem digital tidak hanya bergantung pada peningkatan keterampilan, tetapi juga perlu dibarengi dengan terbukanya akses terhadap peluang kerja dan proyek-proyek digital.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,24,startup Aceh,Aulia,ecosystem,5.0,auto,neutral,1,0,auto,
26,"Karena itu, pemerintah didorong untuk memberi ruang lebih besar kepada startup lokal agar dapat terlibat dalam berbagai kebutuhan layanan digital pemerintah.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,21,startup Aceh,Aulia,ecosystem,8.0,article_propagated,neutral,0,0,auto,
27,"Ke depan, startup lokal perlu diberi kesempatan lebih luas untuk terlibat dalam pengembangan sistem informasi, aplikasi, dan berbagai layanan digital lainnya. Potensi itu sebenarnya ada di Aceh, katanya.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,28,startup Aceh,Aulia,digitalization,6.0,auto,positive,2,0,auto,
28,"Dalam ekosistem tersebut, Garuda Spark Innovation Hub akan berperan sebagai penghubung antara talenta digital, dunia usaha, investor, akademisi, media, dan pemerintah melalui pendekatan kolaborasi pentahelix.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,25,startup Aceh,Aulia,ecosystem,12.0,auto,neutral,1,0,auto,
29,"Kehadiran platform ini diharapkan dapat mempercepat lahirnya kerja sama baru, membuka peluang usaha, sekaligus memperluas akses talenta lokal terhadap kebutuhan industri.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,21,startup Aceh,Aulia,ecosystem,8.0,article_propagated,positive,2,0,auto,
30,"Di tingkat daerah, Pemerintah Kota Banda Aceh menyambut kehadiran program tersebut sebagai langkah strategis untuk memperkuat ekosistem digital yang selama ini tumbuh secara organik di tengah masyarakat.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,27,startup Aceh,Aulia,ecosystem,5.0,auto,positive,2,0,auto,
31,"Kepala Dinas Komunikasi, Informatika dan Statistik Kota Banda Aceh, Muhammad Zubir, mengatakan saat ini terdapat ratusan komunitas dan ekosistem digital yang aktif di Banda Aceh. Namun aktivitas mereka masih tersebar dan belum memiliki pusat kolaborasi yang representatif.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,high,37,startup Aceh,Aulia,ecosystem,9.0,auto,neutral,1,0,auto,
32,"Untuk mendukung pengembangan ekosistem tersebut, Garuda Spark Innovation Hub akan difasilitasi di Gedung BAA kawasan Blang Padang sebagai pusat kegiatan komunitas digital, startup, dan talenta teknologi.","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,26,startup Aceh,Aulia,ecosystem,12.0,auto,positive,2,0,auto,
33,"Dengan adanya Garuda Spark Innovation Hub, komunitas dan startup memiliki tempat untuk berkumpul, berdiskusi, membangun inovasi, dan melahirkan usaha-usaha baru yang mampu bersaing di tingkat nasional maupun internasional, kata Zubir.[]","Garuda Spark Hadir di Banda Aceh, Jembatani Talenta Digital Aceh dengan Industri",https://acehekspres.com/news/garuda-spark-hadir-di-banda-aceh-jembatani-talenta-digital-aceh-dengan-industri/index.html,acehekspres.com,2026-06-10,medium,30,startup Aceh,Aulia,ecosystem,10.0,auto,neutral,1,0,auto,
34,"Jakarta Pemerintah Kota Banda Aceh menunjukkan komitmennya dalam mendukung pengembangan ekonomi digital nasional dengan mengikuti Deklarasi Pengembangan Inovasi Digital dan Penciptaan Techpreneur yang berlangsung dalam kegiatan Digital Ecosystem Alignment (DEAL) 2026 di Tribrata Convention Center, Jakarta, Selasa (23/6/2026).",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,38,startup Aceh,Aulia,digitalization,3.0,auto,positive,3,0,auto,
35,"Dalam kegiatan yang diselenggarakan Direktorat Jenderal Ekosistem Digital Kementerian Komunikasi dan Digital tersebut, Wali Kota Banda Aceh diwakili oleh Kepala Dinas Komunikasi, Informatika dan Statistik (Diskominfotik) Kota Banda Aceh, Muhammad Zubir.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,31,startup Aceh,Aulia,ecosystem,5.0,auto,neutral,0,0,auto,
36,"Deklarasi ini melibatkan berbagai pemangku kepentingan dari sektor pemerintah, industri, akademisi, hingga komunitas digital sebagai upaya memperkuat kolaborasi dalam menciptakan ekosistem startup yang inovatif, berkelanjutan, dan berdaya saing global.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,medium,29,startup Aceh,Aulia,ecosystem,9.0,auto,neutral,1,0,auto,
37,"Selain Pemerintah Kota Banda Aceh, deklarasi tersebut juga diikuti oleh sejumlah kementerian, pemerintah daerah, perusahaan teknologi, lembaga keuangan, serta organisasi pendukung industri digital nasional.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,24,startup Aceh,Aulia,regulation,4.0,auto,neutral,0,0,auto,
38,"Muhammad Zubir mengatakan deklarasi tersebut menjadi momentum penting untuk memperkuat sinergi lintas sektor dalam mendorong pertumbuhan ekonomi digital Indonesia, khususnya di daerah.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,medium,22,startup Aceh,Aulia,,2.0,needs_review,positive,2,0,auto,
39,"Menurutnya, kolaborasi yang dibangun mencakup pengembangan kapasitas sumber daya manusia, akses pembiayaan, penguatan jejaring kemitraan, adopsi teknologi, hingga penyusunan regulasi yang mendukung pertumbuhan startup dan technopreneur.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,medium,26,startup Aceh,Aulia,,4.0,needs_review,positive,5,0,auto,TIE: ecosystem(4) vs digitalization(4)
40,"Pemerintah Kota Banda Aceh berkomitmen mempercepat transformasi ekonomi daerah melalui pembangunan ekosistem startup lokal yang kuat dan berkelanjutan, ujar Zubir.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,20,startup Aceh,Aulia,ecosystem,5.0,auto,neutral,0,0,auto,
41,"Ia menjelaskan, komitmen tersebut diwujudkan melalui berbagai program pembinaan kewirausahaan digital, pengembangan inovasi, serta fasilitasi pemanfaatan teknologi dalam tata kelola pemerintahan dan sektor usaha mikro, kecil, dan menengah (UMKM).",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,medium,29,startup Aceh,Aulia,digitalization,4.0,auto,positive,2,0,auto,
42,"Menurutnya, pengembangan ekosistem digital di Banda Aceh dilakukan melalui pendekatan kolaborasi pentahelix yang melibatkan unsur pemerintah, akademisi, komunitas, pelaku usaha, dan media.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,22,startup Aceh,Aulia,ecosystem,9.0,auto,positive,2,0,auto,
43,"Selain itu, Pemerintah Kota Banda Aceh juga terus mendorong peningkatan kapasitas sumber daya manusia melalui pelatihan keterampilan digital, literasi teknologi, hingga program inkubasi bisnis bagi generasi muda dan pelaku UMKM.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,30,startup Aceh,Aulia,talent,8.0,auto,neutral,1,0,auto,
44,"Pemko Banda Aceh telah mulai melaksanakan berbagai program peningkatan kompetensi digital, termasuk pelatihan, inkubasi bisnis, serta kegiatan inovatif seperti hackathon untuk mendorong lahirnya startup-startup baru, katanya.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,26,startup Aceh,Aulia,talent,4.0,auto,neutral,1,0,auto,
45,"Di sisi infrastruktur, pemerintah kota juga terus memperluas akses internet dan menyediakan ruang kolaborasi kreatif atau coworking space guna mendukung tumbuhnya komunitas inovasi dan kewirausahaan digital.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,medium,26,startup Aceh,Aulia,infrastructure,10.0,auto,positive,3,0,auto,
46,"Zubir menilai penguatan ekosistem digital akan memberikan dampak positif terhadap perekonomian daerah, mulai dari terciptanya lapangan kerja baru, meningkatnya daya saing pelaku usaha lokal, hingga efisiensi pelayanan publik berbasis teknologi.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,medium,30,startup Aceh,Aulia,ecosystem,5.0,auto,neutral,1,0,auto,
47,"Harapannya, inovasi yang lahir dari Banda Aceh tidak hanya mampu bersaing di tingkat nasional, tetapi juga menembus pasar internasional serta menjadi motor penggerak ekonomi daerah yang berkelanjutan, ujarnya.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,28,startup Aceh,Aulia,,2.0,needs_review,neutral,1,0,auto,
48,"Melalui partisipasi dalam DEAL 2026, Pemerintah Kota Banda Aceh menegaskan dukungannya terhadap percepatan transformasi digital nasional sekaligus memperkuat posisi Banda Aceh sebagai salah satu daerah yang aktif mengembangkan ekonomi berbasis inovasi dan teknologi.",Pemko Banda Aceh Dukung Deklarasi Nasional Pengembangan Startup Digital dan Techpreneur 2026,https://www.noa.co.id/pemko-banda-aceh-dukung-deklarasi-nasional-pengembangan-startup-digital-dan-techpreneur-2026/,noa.co.id,2026-06-23,high,33,startup Aceh,Aulia,digitalization,7.0,auto,neutral,1,0,auto,
49,"KabarTamiang.com | Aceh Tamiang - Sebagai upaya pemulihan ekonomi di Kabupaten Aceh Tamiang, Pemerintah Pusat melalui Kementerian Ekonomi Kreatif melakukan penguatan kapasitas pelaku usaha dan pemanfaatan teknologi digital.","Langkah Pemulihan Pascabencana, 150 Pelaku Usaha di Aceh Tamiang Ikut Inkubasi Startup TIK",https://kabartamiang.com/news/langkah-pemulihan-pascabencana-150-pelaku-usaha-di-aceh-tamiang-ikut-inkubasi-startup-tik/index.html,kabartamiang.com,2026-08-30,high,28,startup Aceh,Aulia,digitalization,3.0,auto,neutral,0,0,auto,
