No,Peneliti,Insight,Wilayah,Temuan Utama,Data Pendukung,Implikasi
,Taris,"kekosongan bisa berarti peluang pasar kosong, atau sekadar keterbatasan sumber data.",Aceh Jaya,"Wilayah paling tipis datanya, hampir semua konvensional","Cuma 4 entitas tervalidasi, 3 di antaranya cuma marketplace F&B, 1 cuma Instagram",
,Anum,Validasi Mengurangi Kandidat Digital Business (7:3),"Aceh Tengah, Aceh Tenggara, Bener Meriah, Aceh Selatan,   Kota Langsa, Subulussalam","Kota Langsa memiliki startup digital yang lebih beragam, terutama pada sektor software development dan layanan berbasis aplikasi.",Data/riset untuk daerah ini butuh penggalian lebih dalam sebelum ambil kesimpulan bisnis,"Kekosongan bisa berarti peluang pasar kosong, atau sekadar keterbatasan sumber data — perlu validasi lapangan"
,Anum,Model Platform Mendominasi Startup Aktif,Kota Langsa & Aceh Tengah,"Aceh Tengah didominasi oleh bisnis kopi yang telah memanfaatkan teknologi digital, namun sebagian besar masih berfokus pada ekspor dan pemasaran.","Dari hasil validasi, beberapa kandidat dieliminasi karena merupakan bisnis ekspor konvensional atau sudah tidak lagi beroperasi.",Startup berbasis platform memiliki peluang scale lebih tinggi dibanding bisnis yang hanya memanfaatkan media digital sebagai sarana promosi.
,Anum,Website dan Media Sosial Bukan Penentu Startup,Aceh Tengah & Aceh Selatan,"Aceh Selatan memiliki satu kandidat marketplace lokal, yaitu Meukat.id, yang berperan dalam digitalisasi UMKM. Namun sayangnya sudah tidak aktif.","Startup yang lolos validasi umumnya memiliki aplikasi, platform, atau software sebagai produk utama (misalnya marketplace atau layanan digital).",Kehadiran digital sebaiknya tidak dijadikan satu-satunya indikator dalam mengidentifikasi startup. Penilaian perlu mempertimbangkan model bisnis dan penggunaan teknologi.
,Anum,Keberlanjutan Menjadi Tantangan Startup Daerah,Aceh Selatan & Bener Meriah,elum ditemukan startup digital yang memenuhi kriteria di Aceh Tenggara dan Kota Subulussalam berdasarkan pencarian saat ini.,"Beberapa bisnis memiliki website dan akun media sosial aktif, namun model bisnis utamanya tetap berupa perdagangan atau ekspor produk.","Selain mendorong lahirnya startup baru, ekosistem juga perlu mendukung keberlanjutan bisnis melalui pendampingan, akses pasar, dan pengembangan kapasitas."
,Anum,Digitalisasi Sektor Unggulan Masih Terbatas,Aceh Tengah & Bener Meriah,Ekosistem startup di wilayah penugasan masih berada pada tahap awal dan memerlukan verifikasi lanjutan terhadap beberapa kandidat.,"Ditemukan startup yang pernah aktif namun kini sudah tidak beroperasi, seperti Meukat.id dan BepahKupi (jika statusnya telah terverifikasi).","Terdapat peluang untuk mengembangkan startup berbasis teknologi di sektor unggulan daerah, misalnya melalui platform pemasaran, traceability, supply chain, atau layanan pendukung lainnya."
,Raina,Banda Aceh menjadi pusat perkembangan startup digital di Aceh,Banda Aceh,Aktivitas startup digital di Aceh masih sangat terpusat di Kota Banda Aceh,32 startup ditemukan di Banda Aceh dibanding hanya 3 di Aceh Besar,Pemerataan ekosistem digital ke wilayah lain di Aceh di luar Banda Aceh perlu didorong lebih serius
,Raina,Startup di Bidang Pendidikan Mendominasi Ekosistem Startup Lokal,Banda Aceh & Aceh Besar,Sektor Pendidikan menjadi fokus paling banyak diminati pelaku startup lokal di banding lainnya,"Terdapat 6 startup edutech di Banda Aceh dan 1 di Aceh Besar, jumlah paling tinggi dibanding sektor industri lain",Sektor pendidikan bisa dijadikan fokus utama kebijakan dan pendampingan pengembangan startup ke depan
,Raina,Aktivitas Media Sosial Startup Masih Kurang Jadi Perlu Ditingkatkan,Banda Aceh & Aceh Besar,"Banyak Startup belum konsisten mengelola aktivitas kegiatan digitalnya di media sosial, kebanyakan terakhir update postingan tahun lalu",19 startup teridentifikasi kurang aktif untuk memperbarui media sosialnya,Rendahnya visibilitas online berpotensi mengurangi peluang startup menjangkau pengguna dan mitra baru
,Raina,Startup Lebih Banyak Menawarkan Layanan Dibandingkan Produk Digital,Banda Aceh & Aceh Besar,Mayoritas startup masih berorientasi pada layanan melalui website daripada pengembangan aplikasi,"Startup banyak bergerak di bidang web develompment, digital agency, dan layanan IT, sementara produk berbasis aplikasi sedikit","Perlu dorongan agar startup lokal mulai berubah untuk membangun produk digital sendiri, bukan hanya berbasis jasa"
,Raina,Karakteristik Startup Didominasi oleh Model Bisnis Campuran,Banda Aceh & Aceh Besar,Banyak startup lebih memilih melayani lebih dari satu segmen pasar sekaligus agar jangkauan bisnisnya menjadi lebih luas,"Sebanyak 18 Startup menerapkan model campuran yang melayani B2B, B2C, dan B2G",Model bisnis fleksibel ini memberi startup jangkauan pasar yang lebih luas dan daya tahan bisnis yang jauh lebih baik
